Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	1	419	0
1	2	1017	1
1	3	1887	1
1	4	1650	1
1	5	2040	2
1	6	323	0
1	7	212	0
1	8	174	0
1	9	182	0
1	10	202	0
1	11	181	0
1	12	2273	2
1	13	2477	2
1	14	2557	2
1	15	177	0
1	16	167	0
1	17	175	0
1	18	197	0
1	19	2001	2
1	20	139	0
1	21	134	0
1	22	133	0
1	23	131	0
1	24	120	0
1	25	110	0
1	26	131	0
1	27	128	0
1	28	2041	2
1	29	366	0
1	30	395	0
1	31	411	0
1	32	1546	1
1	33	182	0
1	34	1853	1
1	35	301	0
1	36	116	0
1	37	101	0
1	38	116	0
1	39	128	0
1	40	124	0
1	41	107	0
1	42	116	0
1	43	2054	2
1	44	2234	2
1	45	2388	2
1	46	52	0
1	47	51	0
1	48	55	0
1	49	55	0
1	50	47	0
1	51	55	0
1	52	46	0
1	53	82	0
1	54	69	0
1	55	65	0
1	56	81	0
1	57	87	0
1	58	71	0
1	59	76	0
1	60	61	0
1	61	81	0
1	62	92	0
1	63	87	0
1	64	74	0
1	65	76	0
1	66	153	0
1	67	178	0
1	68	143	0
1	69	147	0
1	70	166	0
1	71	152	0
1	72	2016	2
1	73	1478	1
1	74	77	0
1	75	74	0
1	76	60	0
1	77	65	0
1	78	71	0
1	79	79	0
1	80	62	0
1	81	57	0
1	82	276	0
1	83	244	0
1	84	290	0
1	85	264	0
1	86	266	0
1	87	266	0
1	88	283	0
1	89	276	0
1	90	2329	2
1	91	290	0
1	92	265	0
1	93	230	0
1	94	227	0
1	95	260	0
1	96	328	0
1	97	425	0
1	98	561	0
1	99	3562	3
1	100	2040	2
1	101	37	0
1	102	36	0
1	103	34	0
1	104	35	0
1	105	35	0
1	106	36	0
1	107	35	0
1	108	279	0
1	109	372	0
1	110	497	0
1	111	1893	1
1	112	36	0
1	113	36	0
1	114	34	0
1	115	68	0
1	116	115	0
1	117	58	0
1	118	49	0
1	119	136	0
1	120	175	0
1	121	39	0
1	122	48	0
1	123	84	0
1	124	59	0
1	125	34	0
1	126	1711	1
1	127	1480	1
1	128	3352	3
1	129	510	0
1	130	807	0
1	131	891	0
1	132	689	0
1	133	2560	2
1	134	3015	3
1	135	1516	1
1	136	92	0
1	137	90	0
1	138	147	0
1	139	137	0
1	140	2187	2
1	141	3284	3
1	142	3707	3
1	143	225	0
1	144	204	0
1	145	206	0
1	146	204	0
1	147	579	0
1	148	832	0
1	149	1427	1
1	150	276	0
1	151	239	0
1	152	304	0
1	153	320	0
1	154	3575	3
1	155	406	0
1	156	700	0
1	157	533	0
1	158	2116	2
1	159	1930	1
1	160	2291	2
1	161	3429	3
1	162	3007	3
1	163	49	0
1	164	83	0
1	165	129	0
1	166	70	0
1	167	49	0
1	168	50	0
1	169	49	0
1	170	48	0
1	171	56	0
1	172	49	0
1	173	48	0
1	174	54	0
1	175	46	0
1	176	50	0
1	177	49	0
1	178	49	0
1	179	49	0
1	180	2512	2
1	181	2200	2
1	182	2271	2
1	183	3272	3
1	184	120	0
1	185	124	0
1	186	130	0
1	187	158	0
1	188	224	0
1	189	1835	1
1	190	2161	2
1	191	276	0
1	192	275	0
1	193	526	0
1	194	588	0
1	195	705	0
1	196	529	0
1	197	638	0
1	198	144	0
1	199	86	0
1	200	226	0
1	201	1321	1
1	202	179	0
1	203	195	0
1	204	185	0
1	205	385	0
1	206	673	0
1	207	416	0
1	208	283	0
1	209	225	0
1	210	229	0
1	211	2070	2
1	212	93	0
1	213	94	0
1	214	276	0
1	215	191	0
1	216	91	0
1	217	122	0
1	218	1640	1
1	219	207	0
1	220	207	0
1	221	1692	1
1	222	147	0
1	223	67	0
1	224	302	0
1	225	360	0
1	226	202	0
1	227	145	0
1	228	199	0
1	229	203	0
1	230	198	0
1	231	363	0
1	232	1163	1
1	233	969	0
1	234	118	0
1	235	113	0
1	236	117	0
1	237	117	0
1	238	172	0
1	239	112	0
1	240	208	0
1	241	1441	1
1	242	1229	1
1	243	241	0
1	244	530	0
1	245	482	0
1	246	146	0
1	247	166	0
1	248	83	0
1	249	242	0
1	250	159	0
1	251	185	0
1	252	353	0
1	253	304	0
1	254	302	0
1	255	3481	3
1	256	2634	2
1	257	1942	1
1	258	2420	2
1	259	2290	2
1	260	1457	1
1	261	1927	1
1	262	518	0
1	263	820	0
1	264	2632	2
1	265	50	0
1	266	61	0
1	267	49	0
1	268	27	0
1	269	24	0
1	270	28	0
1	271	27	0
1	272	19	0
1	273	21	0
1	274	22	0
1	275	22	0
1	276	42	0
1	277	39	0
1	278	28	0
1	279	21	0
1	280	22	0
1	281	33	0
1	282	54	0
1	283	28	0
1	284	26	0
1	285	21	0
1	286	21	0
1	287	23	0
1	288	28	0
1	289	24	0
1	290	68	0
1	291	94	0
1	292	1696	1
1	293	281	0
1	294	2369	2
1	295	3081	3
1	296	421	0
1	297	297	0
1	298	414	0
1	299	426	0
1	300	2172	2
1	301	2367	2
1	302	2115	2
1	303	1294	1
1	304	763	0
1	305	533	0
1	306	98	0
1	307	93	0
1	308	111	0
1	309	248	0
1	310	122	0
1	311	103	0
1	312	2937	2
1	313	337	0
1	314	218	0
1	315	471	0
1	316	3194	3
1	317	421	0
1	318	353	0
1	319	2361	2
1	320	3290	3
1	321	4189	4
1	322	898	0
1	323	973	0
1	324	743	0
1	325	356	0
1	326	230	0
1	327	3016	3
1	328	2218	2
1	329	1817	1
1	330	170	0
1	331	193	0
1	332	227	0
1	333	177	0
1	334	274	0
1	335	1839	1
1	336	280	0
1	337	278	0
1	338	275	0
1	339	548	0
1	340	4651	4
1	341	731	0
1	342	231	0
1	343	3185	3
1	344	2142	2
1	345	1672	1
1	346	1827	1
1	347	186	0
1	348	240	0
1	349	301	0
1	350	731	0
1	351	953	0
1	352	3192	3
1	353	2193	2
1	354	116	0
1	355	143	0
1	356	382	0
1	357	1005	1
1	358	2396	2
1	359	2841	2
1	360	4741	4
1	361	1696	1
1	362	486	0
1	363	2098	2
1	364	370	0
1	365	226	0
1	366	356	0
1	367	288	0
1	368	375	0
1	369	407	0
1	370	382	0
1	371	312	0
1	372	75	0
1	373	109	0
1	374	47	0
1	375	55	0
1	376	49	0
1	377	149	0
1	378	145	0
1	379	50	0
1	380	65	0
1	381	21	0
1	382	24	0
1	383	25	0
1	384	299	0
1	385	35	0
1	386	31	0
1	387	48	0
1	388	52	0
1	389	86	0
1	390	72	0
1	391	24	0
1	392	24	0
1	393	21	0
1	394	21	0
1	395	22	0
1	396	20	0
1	397	36	0
1	398	71	0
1	399	30	0
1	400	202	0
1	401	224	0
1	402	195	0
1	403	179	0
1	404	243	0
1	405	3343	3
1	406	88	0
1	407	141	0
1	408	136	0
1	409	106	0
