YEAR.MONTH.DAY HOUR:MINUTE:SECOND;USEDNODES;MINUTES:SECONDS;STATUS;RealTimeDuration MINUTES:SECONDS;

2020.12.19 8:46:25; 12; 3:30; ESCAPED;1:52
2020.12.19 8:54:23; 12; 1:30; ESCAPED;0:49
2020.12.19 8:57:52; 25; 17:59; ESCAPED;9:41
2020.12.19 9:13:13; 20; 21:45; ESCAPED;11:51
2020.12.19 9:28:33; 3; 0:25; ESCAPED;0:12
2020.12.19 9:43:53; 15; 1:48; ESCAPED;0:56
2020.12.19 9:59:13; 13; 3:37; ESCAPED;1:55
2020.12.19 10:14:34; 24; 24:10; ESCAPED;13:12;
2020.12.19 10:29:54; 31; 13:23; ESCAPED; 7:13;
2020.12.19 10:45:14; 10; 1:1; ESCAPED; 0:31;
2020.12.19 11:0:35; 20; 6:0; ESCAPED; 3:12;
2020.12.19 11:15:55; 18; 18:46; ESCAPED; 10:14;
2020.12.19 11:31:15; 31; 14:31; ESCAPED; 7:54;
2020.12.19 11:46:35; 24; 17:38; ESCAPED; 9:29;
2020.12.19 12:1:56; 27; 17:28; ESCAPED; 9:22;
2020.12.19 12:17:16; 24; 22:16; ESCAPED; 12:6;
2020.12.19 12:32:36; 19; 21:47; ESCAPED; 11:38;
2020.12.19 12:47:56; 22; 5:20; ESCAPED; 2:51;
2020.12.19 13:3:17; 25; 5:46; ESCAPED; 3:2;
2020.12.19 13:18:37; 24; 17:33; ESCAPED; 9:29;
2020.12.19 13:33:57; 30; 13:38; ESCAPED; 7:25;
2020.12.19 13:49:18; 31; 14:36; ESCAPED; 8:29;
2020.12.19 14:4:38; 17; 2:4; ESCAPED; 1:8;
2020.12.19 14:19:58; 34; 13:28; ESCAPED; 7:41;
2020.12.19 14:35:19; 21; 5:7; ESCAPED; 2:56;
2020.12.19 14:50:39; 33; 15:5; ESCAPED; 8:47;
2020.12.19 15:5:59; 16; 4:1; ESCAPED; 2:18;
2020.12.19 15:21:20; 21; 5:34; ESCAPED; 3:11;
2020.12.19 15:36:40; 10; 3:22; ESCAPED; 1:51;
2020.12.19 15:52:0; 25; 22:37; ESCAPED; 12:43;
2020.12.19 16:7:20; 26; 5:44; ESCAPED; 3:8;
2020.12.19 16:22:41; 8; 2:55; ESCAPED; 1:39;
2020.12.19 16:38:1; 31; 13:3; ESCAPED; 7:30;
2020.12.19 16:53:21; 19; 22:13; ESCAPED; 12:49;
2020.12.19 17:8:42; 23; 22:13; ESCAPED; 12:41;
2020.12.19 17:24:2; 24; 22:17; ESCAPED; 12:5;
2020.12.19 17:39:22; 32; 15:28; ESCAPED; 8:16;
2020.12.19 17:54:42; 22; 5:14; ESCAPED; 2:47;
